team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NSH,2009,NSH,NSH,Team Level,other,82,0.41,0.48,0.45,11732,130.13,20.67,8.88,25.22,4.75,73.72,53.76,19.99,20.67,19.99,139,48,75,262,26,5,1,25,3,73,55,113,161,11,22,138,40,33,33,114,44,29,3.85,5.01,11.81,7,5,14,262,187,187,14,2.55,1.35,1.35,21.87,21.87,21.32,163,30.18,11.74,30.32,5.26,86.25,62.23,28.31,30.18,28.31,160,66,60,286,26,14,4,28,3,79,76,134,200,16,32,160,35,32,31,131,51,44,4.76,7.29,18.13,3,7,16,286,226,226,10,3.44,4.05,4.05,29.57,29.57,28.26
NSH,2009,NSH,NSH,Team Level,all,82,0.5,0.52,0.52,299446,2507.3,215.69,170.36,568.99,81.22,1422.84,1062.92,206.77,216.99,208.04,2508,1014,1093,4615,217,158,38,533,65,1272,1277,2291,3305,300,686,2306,1419,677,787,2759,557,206,76.04,68.51,71.14,70,71,76,4628.1,3522,3536.88,364,37.36,31.38,32.11,220.94,221.91,216.09,2360.09,215.69,161.71,526.91,74.17,1305.5,975.02,208.65,216.36,209.27,2396,863,1006,4265,221,144,40,565,88,1035,1206,2175,3038,337,767,2382,1419,709,765,2453,600,206,69.24,73.99,72.46,52,90,79,4263.44,3259,3259.81,446,35.69,35.88,37.76,213.61,213.97,209.86
NSH,2009,NSH,NSH,Team Level,5on5,82,0.5,0.52,0.52,239117,1951,146.74,124.67,460.74,62.85,1093.82,840.19,141.95,148.04,143.22,1932,797,836,3565,149,121,31,422,50,972,1015,1783,2580,257,595,1738,1279,547,634,2196,412,121,61.19,50.93,34.62,56,50,43,3578.1,2729,2743.88,309,25.5,23.31,24.78,147.46,148.44,146.34,1850,145.92,120.11,428.61,57.94,1018,781.41,142.12,146.6,142.73,1859,693,800,3352,142,106,25,476,77,801,950,1717,2410,288,650,1769,1280,574,631,1979,458,115,56.01,55.55,34.36,42,66,34,3350.44,2552,2552.81,386,24.72,24.33,25.58,145.05,145.41,143.56
NSH,2009,NSH,NSH,Team Level,4on5,82,0.13,0.13,0.14,22120,51.62,5.21,2.44,6.58,1.43,14.71,41.62,5.13,5.21,5.13,53,19,12,84,4,2,0,5,0,10,51,49,68,16,35,195,59,74,33,50,15,7,1.25,2.02,1.94,2,1,1,84,72,72,31,0.56,0.5,0.5,5.28,5.28,5.26,307.77,35.9,28.04,62.85,9.9,189.56,99.73,34.59,35.9,34.59,331,95,132,558,50,22,9,59,8,144,143,281,376,20,46,210,31,21,61,301,83,42,7.38,10.12,18.41,7,16,27,558,426,426,10,7.11,7.07,7.7,35.32,35.32,34.37
NSH,2009,NSH,NSH,Team Level,5on4,82,0.92,0.91,0.91,26477,374.54,43.07,34.38,76.43,12.19,240.59,127.35,39.7,43.07,39.7,384,150,170,704,38,30,6,81,12,217,156,346,496,16,34,235,41,23,87,399,86,49,9.75,10.55,22.77,5,15,18,704,534,534,10,8.75,6.22,5.49,46.34,46.34,43.17,39.32,3.68,1.81,5.12,1.06,11.68,31.65,3.63,3.68,3.63,46,9,14,69,3,2,2,2,0,11,37,43,52,13,39,243,73,82,42,42,8,5,1.09,1.03,1.56,0,1,2,69,55,55,40,0.42,0.43,0.43,3.67,3.67,3.67
NYR,2009,NYR,NYR,Team Level,other,82,0.48,0.48,0.48,14033,162.56,29.97,11.93,30.31,5.34,85.23,60.21,28.29,29.97,28.29,149,74,62,285,23,18,6,32,2,75,73,126,200,22,58,164,62,35,29,123,56,44,4.42,6.67,18.89,4,3,16,285,223,223,14,3.48,6.51,5.89,27.56,27.56,26.77,173.37,32.71,12.31,31.86,5.85,96.23,64.02,29.01,32.71,29.01,180,63,68,311,29,9,4,28,5,95,77,151,214,16,35,154,73,35,24,138,55,50,4.87,6.45,21.39,5,5,19,311,243,243,14,3.78,3.82,3.85,32.66,32.66,29.81
NYR,2009,NYR,NYR,Team Level,all,82,0.48,0.49,0.5,298628,2452.19,222.05,169.29,548.44,78.66,1357.43,1025.13,213.23,222.74,213.92,2425,976,1124,4525,219,163,40,567,76,1062,1314,2206,3182,419,1017,2235,2330,592,453,2557,641,203,76.05,75.75,70.25,67,85,67,4550.2,3401,3411.99,270,37.49,37.67,39.86,219.67,220.49,215.73,2454.63,236.38,167.12,544.63,80.44,1379.41,1034.09,224.74,236.25,224.61,2450,993,1176,4619,214,164,36,536,91,1132,1306,2236,3229,391,953,2310,2325,534,532,2568,633,242,73.7,76.41,86.27,78,66,70,4596.86,3443,3434.98,296,37.3,41.18,43.48,230.15,229.98,222.46
NYR,2009,NYR,NYR,Team Level,5on5,82,0.49,0.5,0.5,229809,1839.2,141.02,119.85,429.51,58.47,1020.59,784.57,137.57,141.72,138.26,1829,725,892,3446,147,102,21,442,55,795,1013,1682,2407,346,854,1600,2088,428,326,1997,456,101,59.44,53.67,27.92,53,68,26,3471.2,2554,2564.99,217,24.58,19.94,21.64,143.96,144.78,142.75,1850.96,147.86,119.9,430.21,59.92,1035.35,793.83,143.58,147.72,143.44,1849,739,889,3477,139,119,23,419,67,848,996,1710,2449,320,800,1662,2053,410,406,1999,471,118,57.95,57.15,32.75,64,48,27,3454.86,2588,2579.98,237,24.61,26.3,28.21,144.19,144.03,141.99
NYR,2009,NYR,NYR,Team Level,4on5,82,0.11,0.15,0.15,27967,69.37,5.88,3.26,9.14,1.98,21.25,53.5,5.83,5.88,5.83,69,26,28,123,2,5,0,10,2,18,58,67,93,21,45,208,103,106,34,71,20,4,2.41,2.5,0.97,1,1,0,123,95,95,29,0.75,0.74,0.42,6.2,6.2,6.18,362.79,48.97,31.46,73.63,12.6,227.54,127.79,45.43,48.97,45.43,351,171,193,715,40,32,9,79,15,178,178,311,482,30,68,260,63,33,64,369,90,63,9.08,10.55,29.34,6,11,23,715,522,522,10,8.12,10.09,10.45,46.64,46.64,44.03
NYR,2009,NYR,NYR,Team Level,5on4,82,0.87,0.85,0.85,26819,381.06,45.17,34.24,79.49,12.87,230.37,126.86,41.54,45.17,41.54,378,151,142,671,47,38,13,83,17,174,170,331,482,30,60,263,77,23,64,366,109,54,9.78,12.92,22.47,9,13,25,671,529,529,10,8.68,10.49,11.91,41.94,41.94,40.03,67.5,6.84,3.44,8.92,2.06,20.28,48.45,6.72,6.84,6.72,70,20,26,116,6,4,0,10,4,11,55,64,84,25,50,234,136,56,38,62,17,11,1.8,2.26,2.79,3,2,1,116,90,90,35,0.79,0.97,0.97,6.66,6.66,6.64
BUF,2009,BUF,BUF,Team Level,other,82,0.47,0.51,0.51,15575,169.7,22.95,11.65,34.96,5.87,92.35,69.08,21.28,22.95,21.28,177,72,81,330,23,13,5,35,9,89,80,154,226,15,30,173,32,27,41,176,43,30,6.53,5.33,11.09,7,6,10,330,249,249,21,3.33,2.93,2.93,22.57,22.57,21.22,161.65,25.51,12.03,31.79,5.87,91.65,65.48,23.83,25.51,23.83,159,78,75,312,22,10,1,28,8,84,85,137,215,17,34,170,48,25,31,146,61,30,5.59,7.76,12.16,9,4,9,312,237,237,15,3.47,1.68,1.97,26.69,26.69,25.27
BUF,2009,BUF,BUF,Team Level,all,82,0.5,0.5,0.5,299508,2463.48,229.82,170.77,547.33,80.35,1380.89,1036.11,219.71,231.17,221.04,2588,904,1072,4564,231,168,54,501,86,1196,1310,2357,3261,364,842,2269,1388,480,821,2632,651,209,80.05,77.06,72.72,77,70,84,4598.74,3492,3508.14,455,38.04,38.12,38.91,225.88,227.12,220.82,2495.7,228.74,171.94,550.94,81.19,1395.12,1078.74,220.58,228.93,220.76,2574,971,996,4541,201,148,28,567,78,1083,1468,2373,3344,384,864,2396,1684,471,779,2644,711,190,81.36,86.31,61.07,76,67,58,4532.58,3545,3548.3,387,38.23,31,32.59,231.71,231.77,226.46
BUF,2009,BUF,BUF,Team Level,5on5,82,0.49,0.5,0.5,228710,1868.45,151.54,122.25,430.74,60.36,1041.65,800.3,147.03,152.89,148.36,1966,667,802,3435,156,120,38,374,66,897,1020,1810,2477,299,698,1545,1247,373,637,2036,485,112,63.23,57.39,30.92,66,48,42,3469.74,2633,2649.14,363,25.18,25.47,26.09,148.94,150.17,147.84,1872.02,154.67,121.83,430.54,60.53,1037.18,812.82,150.5,154.85,150.68,1934,706,759,3399,145,102,23,453,57,769,1114,1789,2495,329,751,1768,1496,359,603,2006,526,108,62.39,62.98,29.29,59,55,31,3390.58,2640,2643.3,310,25.11,21.32,22.54,155.67,155.74,153.53
BUF,2009,BUF,BUF,Team Level,4on5,82,0.08,0.11,0.12,26709,48.98,3.27,2.07,6.17,1.35,15.02,43.13,3.26,3.27,3.26,56,15,10,81,4,0,0,7,0,17,43,52,67,16,32,251,73,63,67,55,15,1,1.26,1.79,0.21,0,3,1,81,71,71,46,0.48,0,0,3.74,3.74,3.74,369.4,39.08,33.56,77.12,12.15,238.94,125.74,37.16,39.08,37.16,373,162,141,676,32,29,3,77,12,206,179,341,503,16,32,226,40,22,80,399,93,43,10.64,11.47,16.97,8,8,16,676,535,535,15,8.6,6.33,6.25,40.84,40.84,39.26
BUF,2009,BUF,BUF,Team Level,5on4,82,0.85,0.82,0.8,28514,376.33,52.07,34.8,75.46,12.77,231.89,123.61,48.13,52.07,48.13,389,150,179,718,48,35,11,85,11,193,167,341,491,34,82,300,36,17,76,365,108,66,9.03,12.56,30.48,4,13,31,718,539,539,25,9.04,9.72,9.89,50.63,50.63,48.03,92.64,9.48,4.52,11.51,2.64,27.35,74.69,9.09,9.48,9.09,108,25,21,154,2,7,1,9,1,24,90,106,131,22,47,232,100,65,65,93,31,9,2.74,4.1,2.65,0,0,2,154,133,133,47,1.05,1.67,1.83,8.51,8.51,8.41
L.A,2009,L.A,L.A,Team Level,other,82,0.5,0.52,0.51,13682,170.26,27.88,11.64,33.23,5.67,91.75,68.09,26.16,27.88,26.16,170,72,64,306,31,11,2,35,4,88,73,139,211,12,24,185,56,17,32,149,58,35,4.74,7.15,16,4,10,17,306,242,242,7,3.53,2.62,2,29.15,29.15,27.36,169.66,28.14,11.18,32.64,5.62,87.89,64.72,26.08,28.14,26.08,151,82,47,280,20,15,6,33,6,73,86,131,213,19,49,150,74,24,40,140,61,32,4.57,7.74,15.84,1,8,11,280,233,233,18,3.1,5.04,5.04,26.01,26.01,24.96
L.A,2009,L.A,L.A,Team Level,all,82,0.51,0.51,0.51,301170,2423.71,228.36,168.93,536.37,76.77,1357.42,991.35,220.02,228.49,220.15,2389,1016,988,4393,231,175,42,528,55,1182,1234,2158,3174,386,913,2279,2122,417,815,2554,639,212,74.85,77.18,76.32,57,83,91,4395.91,3405,3398.14,460,37.78,38.59,38.86,224.36,224.61,218.75,2336.5,220.32,160.43,520.11,74.76,1290.47,971.72,212.14,220.54,212.35,2261,1017,990,4268,211,181,44,493,62,1079,1252,2050,3067,400,960,2224,2094,474,763,2457,630,191,73.02,76.9,70.4,74,69,68,4263.39,3278,3281.33,397,35.72,42.05,43.21,210.09,210.01,205.97
L.A,2009,L.A,L.A,Team Level,5on5,82,0.52,0.51,0.51,231642,1800.14,145.88,118.85,414.88,56.65,1005.55,752.48,142.21,146,142.35,1770,757,748,3275,141,121,29,413,39,867,946,1629,2386,323,762,1576,1877,339,645,1947,471,109,57.95,56.63,31.28,42,61,38,3277.91,2527,2520.14,378,24.47,26.75,26.99,141.15,141.4,139.46,1708.99,136.13,110.65,395.92,53.86,947.03,728.49,132.03,136.36,132.25,1662,740,768,3170,133,118,23,372,42,813,924,1529,2269,325,792,1607,1858,363,573,1860,449,93,56.04,54.18,25.92,59,49,25,3165.39,2402,2405.33,323,22.75,23.65,23.91,132.95,132.88,131.06
L.A,2009,L.A,L.A,Team Level,4on5,82,0.1,0.11,0.12,28687,55.88,5.62,2.74,7.23,1.56,16.64,40.27,5.54,5.62,5.54,62,13,11,86,4,3,1,4,2,22,40,58,71,19,38,270,131,51,74,52,15,8,1.57,1.87,2.18,3,0,1,86,75,75,67,0.62,0.87,0.87,5.31,5.31,5.28,389.9,49.29,35.49,81.9,13.18,235.72,125.88,47.39,49.29,47.39,385,163,163,711,52,43,14,81,14,179,179,333,496,32,60,258,61,27,102,391,98,59,10.43,11.98,26.88,12,10,30,711,548,548,10,9.14,12.33,13.16,44.83,44.83,43.66
L.A,2009,L.A,L.A,Team Level,5on4,82,0.88,0.87,0.86,27159,397.43,48.98,35.7,81.03,12.89,243.47,130.52,46.11,48.98,46.11,387,174,165,726,55,40,10,76,10,205,175,332,506,32,89,248,58,10,64,406,95,60,10.58,11.53,26.87,8,12,35,726,561,561,8,9.15,8.35,8.99,48.75,48.75,46.65,67.95,6.75,3.11,9.64,2.09,19.83,52.64,6.64,6.75,6.64,63,32,12,107,6,5,1,7,0,14,63,57,89,24,59,209,101,60,48,66,22,7,1.97,3.01,1.76,2,2,2,107,95,95,46,0.72,1.03,1.1,6.3,6.3,6.29
OTT,2009,OTT,OTT,Team Level,other,82,0.55,0.48,0.5,10304,152.33,28.51,10.89,29.29,4.83,78.52,55.97,24.79,28.51,24.79,152,56,59,267,29,9,2,32,5,75,58,123,179,17,34,155,50,23,43,122,39,47,4.19,4.53,19.79,5,4,20,267,208,208,25,3.25,2.48,3.08,28.68,28.68,25.65,146.95,23.8,9.85,29.13,4.83,80.14,56.25,22.57,23.8,22.57,149,55,86,290,15,9,2,31,5,85,59,134,189,15,30,159,38,27,30,141,32,31,4.65,4.07,15.08,1,1,13,290,204,204,14,2.78,3.26,3.26,23.32,23.32,22.16
OTT,2009,OTT,OTT,Team Level,all,82,0.52,0.5,0.51,299188,2413.99,225.99,166.11,544.07,76.51,1331.01,1003.32,214.69,226.15,214.82,2438,909,1136,4483,220,173,40,538,81,1130,1205,2218,3127,414,985,2293,1939,701,757,2514,585,248,71.52,70,84.47,78,56,86,4463.43,3347,3343.4,424,36.9,39.17,41.08,221.81,221.84,214.78,2320.46,210.89,160.35,526.64,75.25,1293.3,955.58,203.26,212.05,204.39,2340,882,1193,4415,233,171,35,501,81,1037,1199,2107,2989,393,959,2355,1969,679,801,2461,546,215,70.26,65.38,75.24,84,80,69,4452.89,3222,3239.46,519,35.79,37.22,41.02,205.65,206.62,201.85
OTT,2009,OTT,OTT,Team Level,5on5,82,0.53,0.52,0.52,233053,1836.07,147.82,120.87,431.37,58.02,1012.58,774.34,143.59,147.98,143.73,1846,699,900,3445,145,129,31,431,55,842,943,1701,2400,350,856,1625,1747,565,578,1962,446,137,56.29,53.66,37.85,63,42,40,3425.43,2545,2541.4,344,24.88,27.82,29.14,143.55,143.58,141.68,1675.48,132.07,108.98,398.27,54.49,923.66,702.54,128.92,133.23,130.05,1674,646,861,3181,171,124,26,344,62,708,911,1503,2149,325,804,1679,1792,542,629,1816,383,121,53.23,45.79,33.04,74,65,32,3218.89,2320,2337.46,440,22.44,24.64,27.09,127.41,128.39,127.09
OTT,2009,OTT,OTT,Team Level,4on5,82,0.15,0.12,0.15,29361,76.93,9.07,4.09,9.96,2.27,22.43,56.19,8.72,9.07,8.72,80,24,16,120,4,5,1,11,7,18,59,76,100,18,34,237,97,74,56,66,26,12,2.02,3.33,3.72,0,2,2,120,104,104,49,0.93,1.56,1.56,8.45,8.45,8.4,436.85,49.76,38.71,91.24,14.23,271.04,144.03,46.54,49.76,46.54,450,159,234,843,44,34,7,120,13,227,171,406,565,29,64,311,48,39,90,440,111,58,10.68,13.25,25.83,9,12,23,843,609,609,18,9.91,8.82,10.21,49.46,49.46,47.15
OTT,2009,OTT,OTT,Team Level,5on4,82,0.89,0.87,0.85,26470,348.66,40.59,30.27,73.45,11.39,217.49,116.82,37.59,40.59,37.59,360,130,161,651,42,30,6,64,14,195,145,318,448,29,61,276,45,39,80,364,74,52,9.01,8.48,23.09,10,8,24,651,490,490,6,7.84,7.31,7.31,41.12,41.12,39.03,61.18,5.26,2.81,8,1.72,18.45,52.77,5.23,5.26,5.23,67,22,12,101,3,4,0,6,1,17,58,64,86,24,61,206,91,71,52,64,20,5,1.71,2.27,1.29,0,2,1,101,89,89,47,0.65,0.49,0.46,5.45,5.45,5.44
MIN,2009,MIN,MIN,Team Level,other,82,0.5,0.53,0.54,13822,166.3,23.4,11.8,32.49,5.6,93.46,62.25,21.89,23.4,21.89,176,53,62,291,22,19,8,27,7,84,71,154,207,15,33,187,59,24,26,156,42,31,5.4,5.34,12.66,3,6,13,291,229,229,9,3.47,6.21,5.75,21.12,21.12,20.25,141.38,23.71,10.02,27.84,4.83,77.77,53.82,22.24,23.71,22.24,139,59,64,262,25,5,0,24,2,64,78,114,173,11,27,144,41,25,22,124,42,32,3.75,4.83,15.13,6,7,12,262,198,198,8,2.93,1.33,2.06,24.58,24.58,23.47
MIN,2009,MIN,MIN,Team Level,all,82,0.5,0.49,0.49,299672,2273.23,203.15,155.24,517.66,74.66,1288.61,953.68,196.27,202.58,195.69,2266,927,1012,4205,214,163,41,464,57,1038,1259,2052,2979,375,847,2455,1746,462,633,2416,607,170,71.2,72.05,59.91,63,82,69,4168.08,3193,3169.62,360,34.74,36.03,37.36,200.54,199.83,195.84,2387.74,200.31,158.71,542.32,76.47,1334.09,1019.1,194.26,201.12,195.08,2414,917,1096,4427,239,137,37,526,50,1075,1304,2175,3092,370,840,2247,1536,434,620,2606,559,166,73.99,66.72,59.6,83,89,67,4469.78,3331,3356.75,313,34.93,28.79,30.65,204.59,205.46,201.73
MIN,2009,MIN,MIN,Team Level,5on5,82,0.5,0.48,0.48,229795,1682.4,130.7,108.23,399.56,55.01,946.95,724.54,127.19,130.13,126.61,1655,710,754,3119,135,115,26,361,38,758,959,1520,2230,314,719,1748,1545,354,490,1842,431,92,54.78,51.01,24.91,46,61,28,3082.08,2365,2341.62,305,22.25,24.11,25.04,127.92,127.22,125.41,1831.11,131.16,114.63,434.75,58.31,1018.11,794.03,127.92,131.98,128.75,1850,701,848,3399,154,109,31,417,36,827,1008,1696,2397,318,728,1629,1373,320,476,2069,390,92,59.27,46.6,25.29,60,62,32,3441.78,2551,2576.74,269,23.47,21.45,22.54,132.1,132.96,131.52
MIN,2009,MIN,MIN,Team Level,4on5,82,0.12,0.12,0.13,28003,53.14,4.94,2.5,6.75,1.5,15.41,43.91,4.76,4.94,4.76,54,21,15,90,3,5,0,4,4,8,51,51,72,18,36,241,97,66,37,55,16,4,1.61,2.12,1.21,2,1,0,90,75,75,36,0.56,0.74,0.69,4.81,4.81,4.74,346.74,37.83,30.73,71.17,11.38,218.32,119.57,36.58,37.83,36.58,347,142,164,653,48,19,5,74,11,177,160,299,441,26,52,255,41,15,90,356,99,34,9.13,11.91,16.78,12,15,21,653,489,489,7,7.77,5.42,5.45,40.15,40.15,39
MIN,2009,MIN,MIN,Team Level,5on4,82,0.85,0.86,0.85,28052,371.38,44.11,32.7,78.85,12.56,232.8,122.99,42.43,44.11,42.43,381,143,181,705,54,24,7,72,8,188,178,327,470,28,59,279,45,18,80,363,118,43,9.42,13.57,21.12,12,14,28,705,524,524,10,8.46,4.98,5.88,46.68,46.68,45.43,68.52,7.61,3.33,8.56,1.94,19.89,51.68,7.52,7.61,7.52,78,15,20,113,12,4,1,11,1,7,58,66,81,15,33,219,81,74,32,57,28,8,1.83,3.37,2.4,5,5,2,113,93,93,29,0.76,0.6,0.6,7.76,7.76,7.73
TOR,2009,TOR,TOR,Team Level,other,82,0.49,0.55,0.55,11948,192.9,32.16,13.6,37.24,6.41,102.15,73.45,26.14,32.16,26.14,195,70,78,343,23,14,3,42,5,92,89,172,242,14,31,153,45,23,26,153,70,42,5.34,8.47,18.35,6,7,10,343,265,265,8,4.13,6.79,7.72,28.56,28.56,25.39,159.32,33.59,10.48,28.47,5.2,79.53,59.73,31.45,33.59,31.45,140,77,67,284,36,12,8,21,5,71,72,104,181,21,45,148,49,29,42,108,56,53,3.99,6.69,22.92,3,9,24,284,217,217,28,3.12,4.97,5.28,31.44,31.44,30
TOR,2009,TOR,TOR,Team Level,all,82,0.51,0.52,0.52,300191,2727.77,253.65,183.76,608.46,87.51,1514.31,1140.31,237.79,251.83,236.02,2671,1117,1383,5171,210,146,30,588,91,1331,1422,2461,3578,389,959,2381,1777,579,761,2793,747,248,80.05,91.09,82.51,72,74,64,5104.22,3788,3746.94,503,40.94,37.63,45.06,249.52,247.53,238.33,2515.46,240.28,171.34,548.07,79.97,1387.77,1052.58,229.66,242.74,232.05,2441,1039,1218,4698,263,132,50,476,79,1169,1361,2178,3217,421,1023,2303,1856,665,876,2535,723,222,72.76,85.5,82.03,91,82,90,4777.46,3480,3529.37,602,38.31,34.21,36.94,241.65,244.45,237.21
TOR,2009,TOR,TOR,Team Level,5on5,82,0.54,0.53,0.53,233584,2091.35,173.49,134.25,482.19,66.53,1153.88,888.66,167.93,171.67,166.16,2039,860,1069,3968,151,106,22,442,71,1018,1111,1888,2748,337,843,1745,1609,473,614,2186,561,152,64.04,68.14,41.31,58,59,34,3901.22,2899,2857.94,426,27.67,24.88,29.21,171.94,169.95,167.3,1869.62,147.96,120.38,426.03,58.46,1031.08,800.08,144.18,150.4,146.57,1834,750,956,3540,162,83,27,378,68,843,1050,1672,2422,343,847,1669,1652,529,671,1950,533,101,56.42,63.26,28.27,78,52,32,3619.46,2584,2633.37,482,24.78,17.29,18.77,153.96,156.77,154.47
TOR,2009,TOR,TOR,Team Level,4on5,82,0.08,0.1,0.11,25488,52.04,4.45,2.29,7.08,1.51,15.48,44.19,4.37,4.45,4.37,55,20,10,85,3,1,0,7,0,11,53,52,72,20,46,210,67,59,63,54,18,3,1.25,2.36,0.84,1,2,0,85,75,75,61,0.53,0.22,0.22,4.75,4.75,4.75,417.16,52.32,37.22,84.64,14.28,256.59,136.95,47.66,52.32,47.66,396,186,175,757,59,35,14,72,4,239,173,337,523,24,54,237,49,20,71,409,111,62,10.28,12.83,29.21,7,20,32,757,582,582,5,9.65,11.47,12.41,49.56,49.56,46.06
TOR,2009,TOR,TOR,Team Level,5on4,82,0.87,0.87,0.85,29171,391.48,43.55,33.62,81.95,13.08,242.81,134.01,39.35,43.55,39.35,382,167,226,775,33,25,5,97,15,210,169,349,516,18,39,273,56,24,58,400,98,51,9.43,12.12,22.01,7,6,20,775,549,549,8,8.61,5.74,7.9,44.26,44.26,40.9,69.36,6.41,3.27,8.92,2.02,20.57,55.82,6.36,6.41,6.36,71,26,20,117,6,2,1,5,2,16,66,65,91,33,77,249,106,87,92,68,23,6,2.05,2.72,1.64,3,1,2,117,97,97,87,0.76,0.48,0.48,6.68,6.68,6.67
MTL,2009,MTL,MTL,Team Level,other,82,0.46,0.46,0.46,12335,172.8,27.81,12.23,34.63,5.73,90.53,65.33,26.54,27.81,26.54,173,67,80,320,24,15,2,29,4,77,91,149,216,26,54,167,30,16,38,144,60,36,5.35,7.18,15.28,4,7,13,320,240,240,26,3.43,3.92,3.92,27.06,27.06,26.15,195.53,32.49,14.1,39.5,6.46,102.62,73.68,28.7,32.49,28.7,207,74,88,369,26,17,8,42,3,98,95,181,255,21,64,163,31,28,46,181,58,42,6.68,6.92,18.89,6,3,17,369,281,281,30,4.19,6.74,6.74,29.17,29.17,27.31
MTL,2009,MTL,MTL,Team Level,all,82,0.49,0.47,0.47,300958,2363.09,225.44,158.01,528.59,75.52,1280.77,998.29,217.17,225.7,217.43,2346,958,1185,4489,210,187,37,489,67,1008,1343,2136,3094,399,900,2285,1542,562,910,2461,616,227,70.82,73.05,81.57,64,66,80,4476.9,3304,3299.9,743,35.17,43.88,44.31,213.69,213.78,208.72,2595.68,237.62,176.25,586.1,82.5,1430.49,1101.32,227.82,237.88,228.1,2634,1027,1344,5005,218,175,53,607,72,1150,1439,2416,3443,348,840,2312,1726,518,894,2774,657,230,78.82,79.46,79.34,67,73,78,5029.96,3661,3671.76,672,39.36,42.28,43.72,230.19,230.43,225.47
MTL,2009,MTL,MTL,Team Level,5on5,82,0.46,0.47,0.47,237236,1747.36,135.07,110.26,409.66,55.76,953.91,751.91,131.48,135.32,131.74,1725,714,945,3384,130,121,20,373,54,752,1009,1595,2309,330,755,1654,1428,439,705,1889,437,113,53.34,51.91,29.81,50,52,28,3371.9,2439,2434.9,600,22.7,23.81,24.56,131.63,131.72,130.01,1968.31,156.68,125.94,462.29,62.52,1079.96,853.45,152.54,156.93,152.83,1989,778,1032,3799,143,129,36,480,57,827,1131,1846,2624,295,709,1694,1602,419,686,2135,497,135,60.15,59.66,36.87,54,54,35,3823.96,2767,2777.76,542,25.96,27.68,29.42,151.5,151.75,149.9
MTL,2009,MTL,MTL,Team Level,4on5,82,0.15,0.15,0.18,28600,80.05,7.45,3.89,9.57,2.24,23.25,65.8,7.28,7.45,7.28,82,33,19,134,3,5,0,7,0,17,83,79,112,22,47,223,61,74,108,80,28,7,2.13,3.51,1.81,1,1,1,134,115,115,106,0.89,0.98,0.98,7.17,7.17,7.13,373.35,41.98,33.22,77.04,11.86,230.96,125.54,40.25,41.98,40.25,369,160,206,735,42,26,9,79,9,208,165,327,487,22,47,274,43,29,70,403,83,43,10.67,10.56,20.75,5,11,26,735,529,529,13,8.51,6.99,6.7,43.22,43.22,41.97
